s_m,v_const_mps,v_trac_mps,R_m
65.5476017441863,46.07985305978626,46.07985305978626,999999999.9999999
66.7038517441863,45.78351349570599,45.78351349570599,999999999.9999999
67.8601017441863,45.485243299464635,45.485243299464635,999999999.9999999
69.0163517441863,45.1850042382591,45.1850042382591,999999999.9999999
70.17260174418631,44.88275680048511,44.88275680048511,999999999.9999999
71.32885174418632,44.57846013504159,44.57846013504159,999999999.9999999
72.48510174418632,44.27207198688008,44.27207198688008,999999999.9999999
73.64135174418632,43.963548628511454,43.963548628511454,999999999.9999999
74.71218424218173,43.67587351935491,43.67587351935491,999999999.9999999
75.56696070569437,43.44487392802223,43.44487392802223,999999999.9999999
76.29109863672882,43.24821345643622,43.24821345643622,999999999.9999999
77.01523656776327,43.05065462597747,43.05065462597747,999999999.9999999
77.73937449879772,42.85218501169947,42.85218501169947,999999999.9999999
78.46351242983218,42.65279189957728,42.65279189957728,999999999.9999999
79.18765036086663,42.452462277003086,42.452462277003086,999999999.9999999
79.91178829190108,42.25118282287604,42.25118282287604,999999999.9999999
80.63592622293552,42.04893989726519,42.04893989726519,999999999.9999999
81.36006415396997,41.84571953062279,41.84571953062279,999999999.9999999
82.08420208500442,41.64150741252375,41.64150741252375,999999999.9999999
82.80834001603887,41.43628887990568,41.43628887990568,999999999.9999999
83.53247794707332,41.23004890478206,41.23004890478206,999999999.9999999
84.25661587810777,41.02277208139944,41.02277208139944,999999999.9999999
84.98075380914221,40.81444261280767,40.81444261280767,999999999.9999999
85.70489174017666,40.605044296809915,40.605044296809915,999999999.9999999
86.42902967121111,40.39456051125721,40.39456051125721,999999999.9999999
87.15316760224556,40.182974198649674,40.182974198649674,999999999.9999999
87.87730553328001,39.970267850004085,39.970267850004085,999999999.9999999
88.60144346431446,39.75642348794462,39.75642348794462,999999999.9999999
89.3255813953489,39.54142264897053,39.54142264897053,999999999.9999999
90.04971932638335,39.325246364851225,39.325246364851225,999999999.9999999
90.7738572574178,39.10787514309579,39.10787514309579,999999999.9999999
